"","X","number","variety","inoculant","salt","replicate","trial","shoots","total_abund","tot_mf","tot_16s","tot_its","tot_oom","rel_amf","rel_16s","rel_its","rel_oom","shoot_score","Microbial_Abundance_Score","bfr","log_bfr","log_tot_fun","all_bfr","log_all_bfr","FB","amfb","itsb","log_amf","log_its","log_16s","log_shoots","log_oom","amfoom"
"37",39,166,"A","BTN NS","6 dS/m",1,2,2.9059,24601.96,8867.59,29901.08,543.99,239.84,36.044242,60.76971103,2.211165289,0.974881676,0.525403197,0.469349442,54.966231,1.740095959,22.2017626731463,3.17705209964746,1.6676887486245,0.314757192716785,0.296564204369876,0.0181929883469092,9.09015833601832,6.29893086433404,10.3056498791278,1.06674315299371,5.47997203435429,0.0270468075316969
"38",40,167,"A","BTN NS","6 dS/m",2,2,2.9712,15916.28,3021.91,25005.06,314.71,77.13,18.98628323,78.55183498,1.977283637,0.48459816,0.537209807,0.298532386,79.45429125,1.900117358,19.8591241899419,7.49412878901403,2.90576077105845,0.133437792190861,0.120851939567432,0.012585852623429,8.01364436078762,5.75165157986039,10.1268334833702,1.0889659116163,4.34549230994591,0.0255235926946865
"39",41,168,"A","BTN NS","6 dS/m",3,2,2.6037,15745.19,1288.77,28499.74,148.4,58.15,8.18516639,90.50300441,0.942510062,0.369319138,0.470763723,0.295167642,192.0467655,2.283406997,17.545126382875,19.8304584704663,4.30964612724091,0.050427477584006,0.0452204125370968,0.0052070650469092,7.16144355412443,4.99991133073328,10.2576502434081,0.956933510336172,4.06302587896467,0.0451205412913088
"40",42,173,"A","BTN NS","12 dS/m",3,2,0.5598,19989.82,4872.01,28376.14,701.96,227.78,24.37245558,70.97647703,3.511587398,1.139479995,0.101215014,0.378644721,40.42415522,1.606640953,21.7055463922168,5.09083113113275,2.34790121050097,0.196431579488965,0.171693894941313,0.0247376845476517,8.49126186193278,6.55387642234541,10.2533039301881,-0.580175701900784,5.4283802508462,0.0467527776010312
"41",43,175,"A","BTN NS","12 dS/m",5,2,0.3488,20966.94,3798.68,33676.08,184.62,145.6,18.11747446,80.30756992,0.880529061,0.694426559,0.063065018,0.397861267,182.4075398,2.261042786,19.4196975087384,8.45431677252529,3.07968816933458,0.118282769253429,0.112800539730277,0.00548222952315115,8.24240891694704,5.21829965856201,10.4245430720338,-1.05325658694731,4.98086313576259,0.0383291037939495
"42",44,202,"A","DEL NS","0 dS/m",2,2,2.5613,22379.98,6228.98,28894.1,1601.73,102.22,27.83282201,64.55345358,7.156976905,0.456747504,0.463097563,0.425650839,18.0393075,1.256219862,23.2501954859573,3.68984421591401,1.88355990743129,0.271014151678024,0.21557965120907,0.0554345004689539,8.73696787446074,7.37883957409811,10.2713927010095,0.940514942098337,4.62712735334013,0.0164103914284522
"43",45,203,"A","DEL NS","0 dS/m",3,2,3.3778,12444.29,2947.58,17023.58,914.91,70.01,23.68620468,68.39916138,7.352046601,0.562587339,0.610725392,0.230250443,18.60683565,1.269672522,21.3628012762148,4.40741076352301,2.13993135971537,0.226890583531784,0.173146893896583,0.0537436896352001,7.98873977368866,6.81882569978206,9.7423547207844,1.21722461000168,4.24863808898911,0.0237516878252668
"44",46,205,"A","DEL NS","0 dS/m",5,2,3.4438,15629.63,4295.52,20937.86,814.11,51.07,27.48318418,66.9813041,5.20876054,0.326751177,0.622658567,0.29289498,25.71871123,1.410249202,21.7376970038867,4.09772527560704,2.03482326477739,0.244037833856946,0.205155636726963,0.0388821971299837,8.36532789810266,6.70209549200775,9.94931428244946,1.23657551286995,3.93319724065955,0.0118891310016017
"45",47,206,"A","DEL NS","6 dS/m",1,2,2.2573,31987.52,17341.42,27316.68,845.68,142.08,54.2130806,42.6989651,2.643781075,0.444173228,0.408132639,0.614597667,32.3014379,1.509221855,23.8059024674848,1.50198107449786,0.586866634489932,0.665787350439365,0.63482897628848,0.0309583741508851,9.76085313856176,6.74014103746041,10.2152527836062,0.814169408807395,4.95639027924386,0.00819310068033645
"46",48,208,"A","DEL NS","6 dS/m",3,2,2.9224,23914.8,9544.37,27677.04,420.62,111.29,39.90988844,57.86592403,1.75882717,0.465360363,0.52838649,0.455835399,65.8005801,1.818229722,21.9368078967163,2.77742777463901,1.4737493956738,0.360045366122967,0.344847931715241,0.0151974344077257,9.16370673083854,6.04172981325553,10.2283584675973,1.07240519649894,4.71213940698533,0.011660277210544
