number,variety,inoculant,salt,replicate,trial,shoots,total_abund,tot_mf,tot_16s,tot_its,tot_oom,rel_amf,rel_16s,rel_its,rel_oom,shoot_score,Microbial_Abundance_Score
87,A,SLK NS,S3,2,2,2.2615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40889202285383663,NA
88,A,SLK NS,S3,3,2,3.2792,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5928979532798149,NA
89,A,SLK NS,S3,4,2,2.9831,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5393613943733275,NA
90,A,SLK NS,S3,5,2,2.0772,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3755695378607073,NA
91,A,SLK NS,S4,1,2,0.9152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1654733492442323,NA
92,A,SLK NS,S4,2,2,1.1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20000723222680264,NA
93,A,SLK NS,S4,3,2,0.5568,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10067259709264481,NA
94,A,SLK NS,S4,4,2,0.9895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17890721053012223,NA
95,A,SLK NS,S4,5,2,0.5866,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10606060606060606,NA
96,A,SLK NS,S5,1,2,0.2938,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05312070586533594,NA
97,A,SLK NS,S5,2,2,0.3714,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06715122586244304,NA
98,A,SLK NS,S5,3,2,0.2964,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05359080060750705,NA
99,A,SLK NS,S5,4,2,0.2161,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039072105301222244,NA
100,A,SLK NS,S5,5,2,0.1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02889274607651696,NA
101,A,SC S,S1,1,2,3.8765,41579.14,17426.92,13350.56,10450.65,351.01,41.91265139202013,32.108793014958941,25.13435823828968,0.8441973547312427,0.7008931800101251,NA
102,A,SC S,S1,2,2,3.4752,36401.42,10328.71,17646.41,8259.24,167.06,28.37447000693929,48.477257205900209,22.689334646835206,0.458938140325295,0.6283358646127143,NA
103,A,SC S,S1,3,2,4.4588,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8061763216894482,NA
104,A,SC S,S1,4,2,3.5034,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6334345845085702,NA
105,A,SC S,S1,5,2,5.0645,44085.13,18152.06,22965.58,2700.95,266.54,41.175017517244484,52.093710509643508,6.126669015153182,0.6046029579588402,0.9156903160483112,NA
106,A,SC S,S3,1,2,2.5141,40560.48999999999,11536.47,20432.37,8327.45,264.2,28.442629761129616,50.375057106065547,20.53094033134216,0.6513728014627044,0.4545635351124611,NA
107,A,SC S,S3,2,2,2.1714,18773.940000000002,3406.06,14670.45,610.8,86.63,18.142489003373825,78.142627493216651,3.2534460001470116,0.461437503262501,0.39260143198090697,NA
108,A,SC S,S3,3,2,1.3934,11777.05,882.54,10734.58,133.73,26.2,7.49372720672834,91.148292653932856,1.1355135623946573,0.22246657694414135,0.2519346206697042,NA
109,A,SC S,S3,4,2,3.0778,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55648369132856,NA
110,A,SC S,S3,5,2,3.0349,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5487271280827366,NA
111,A,SC S,S4,1,2,0.9181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16599768568742315,NA
112,A,SC S,S4,2,2,0.2842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05138497143270413,NA
113,A,SC S,S4,3,2,0.9447,36966.27,18459.79,16029.65,1899.74,577.09,49.93684783452591,43.362908943747911,5.139117362936537,1.5611258587896482,0.17080711651117378,NA
114,A,SC S,S4,4,2,0.5229,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09454328487741376,NA
115,A,SC S,S4,5,2,0.4902,10213.069999999998,1144.56,8950.3799999999992,100.4,17.73,11.20681636373784,87.6365284875165,0.9830540669945474,0.17360108175112876,0.08863093946626166,NA
